cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street,lat_orig,lon_orig,move_distance_m,kept
Fischer-Hallman Rd S,,43.4525964220205,-80.55282837137817,Waterloo,Erb St W at Fischer-Hallman Rd S,,GRT,,,Active,11032,Erb St W,43.45260195,-80.55283004,0.6292676667057577,1
Toman Dr,,43.51673911519736,-80.51846701774026,Waterloo,Northfield Dr E at Toman Dr,,GRT,,,Active,12778,Northfield Dr E,43.51540536,-80.51873322,149.8522031534328,1
Sunview St,,43.47218416310151,-80.53143175251793,Waterloo,University Ave W at Sunview St,,GRT,,,Active,13057,University Ave W,43.47339,-80.532244,149.24549511547394,1
Weber St N,,43.47080201930937,-80.51485109860752,Waterloo,Lincoln Rd at Weber St N,,GRT,,,Active,13234,Lincoln Rd,43.47127,-80.513586,114.58648187213765,1
Davenport Rd,,43.50535803,-80.52920795,Waterloo,Frobisher Dr at Davenport Rd,,GRT,,,Active,10215,Frobisher Dr,43.50535803,-80.52920795,0.0,1
Bridgeport Rd W,,43.467814380301284,-80.52350326868842,Waterloo,King St N at Bridgeport Rd W,,GRT,,,Active,10991,King St N,43.46733696,-80.52307696,63.259862113004154,1
Lester St,,43.47701796657132,-80.53874809559865,Waterloo,Columbia St W at Lester St,,GRT,,,Active,11567,Columbia St W,43.47797199,-80.53743494,149.93387025280666,1
University of Waterloo - Village 1,,43.47315996,-80.55098304,Waterloo,Columbia St W at University of Waterloo - Village 1,,GRT,,,Active,10101,Columbia St W,43.47315996,-80.55098304,0.0,1
Gatestone Blvd,,43.470116,-80.568257,Waterloo,Fischer-Hallman Rd N at Gatestone Blvd,,GRT,,,Active,13249,Fischer-Hallman Rd N,43.470116,-80.568257,0.0,1
Gage Ave,,43.44773303,-80.51414801,Kitchener,Belmont Ave W at Gage Ave,,GRT,,,Active,11820,Belmont Ave W,43.44773303,-80.51414801,0.0,1
Ring Rd Exit,,43.46641036727719,-80.54044720491346,Waterloo,University Ave W at Ring Rd Exit,,GRT,,,Active,11732,University Ave W,43.46618702,-80.540567,26.650480359235647,1
Northland Rd,,43.50893841129487,-80.52847405908834,Waterloo,McMurray Rd at Northland Rd,,GRT,,,Active,10222,McMurray Rd,43.50894,-80.528472,0.2424506889857959,1
