source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,11137,King St N at Nothland Rd,King St N,Nothland Rd,Waterloo,Active,-80.536775,43.504827
GRT,10551,Ainslie St S at Walnut St,Ainslie St S,Walnut St,Cambridge,Active,-80.314075,43.354938
GRT,13111,Fleming Dr at Sheldon Dr,Fleming Dr,Sheldon Dr,Cambridge,Active,-80.2929864,43.40901241
GRT,10664,Preston Pky at Parkview Cres,Preston Pky,Parkview Cres,Cambridge,Active,-80.37793802,43.39728199
GRT,10699,Stanley Park Mall at Stop 1668,Stanley Park Mall,Stop 1668,Kitchener,Active,-80.44383995,43.44893196
GRT,13401,Block Line Station at ION platform - Southbound,Block Line Station,ION platform - Southbound,Kitchener,Active,-80.463085,43.422733
GRT,12103,Country Hill Dr at Block Line Rd,Country Hill Dr,Block Line Rd,Kitchener,Active,-80.47547696,43.41702003
GRT,12788,Columbia St E at Weber St N,Columbia St E,Weber St N,Waterloo,Active,-80.522155,43.483534
GRT,12974,Ira Needles Blvd at Thorndale Dr,Ira Needles Blvd,Thorndale Dr,Waterloo,Active,-80.56581,43.442331
GRT,12987,Westmount Rd W at Chopin Dr,Westmount Rd W,Chopin Dr,Kitchener,Active,-80.52266391,43.44313399
GRT,11571,Ring Rd at University of Waterloo - University Club,Ring Rd,University of Waterloo - University Club,Waterloo,Active,-80.54797802,43.47273698
GRT,11589,King St N at Central St,King St N,Central St,Waterloo,Active,-80.52373201,43.46980701
GRT,10313,Guelph Ave at Sheffield St,Guelph Ave,Sheffield St,Cambridge,Active,-80.31152797,43.43444702
GRT,13726,University of Waterloo Station at Platform 3,University of Waterloo Station,Platform 3,Waterloo,Active,-80.541204,43.474034
GRT,12272,Victoria St S at Oprington Dr,Victoria St S,Oprington Dr,Kitchener,Active,-80.532421,43.43514
GRT,10891,Manitou Dr at Cress Lane,Manitou Dr,Cress Lane,Kitchener,Active,-80.450664,43.416178
GRT,12988,Westmount Rd W at Westwood Dr,Westmount Rd W,Westwood Dr,Kitchener,Active,-80.523118,43.446241
